Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,West bengal transport corporation - 75458,Non AC Seater (2+3),05:15,04h 05m,09:20,2.7,INR 145,18 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,West bengal transport corporation - 74675,Non AC Seater (2+3),06:30,04h 00m,10:30,1.3,INR 145,22 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,West bengal transport corporation - 158794,Non AC Seater (2+3),07:15,05h 15m,12:30,4.6,INR 160,26 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,West bengal transport corporation - 74747,Non AC Seater (2+3),10:10,04h 20m,14:30,3.1,INR 145,12 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),10:35,04h 45m,15:20,4.5,INR 712,26 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Express Line,Volvo 9600 A/C Semi Sleeper (2+2),14:30,03h 45m,18:15,4.4,INR 699,19 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),14:15,04h 10m,18:25,4.4,INR 680,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Greenline,Volvo A/C Seater (2+2),14:10,04h 15m,18:25,4.2,INR 400,19 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),14:30,04h 25m,18:55,4.2,INR 510,25 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Mayuri Express,AC Seater (2+2),11:20,04h 10m,15:30,4.1,558,39 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),14:10,03h 35m,17:45,4.0,338,49 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Express Line,VE A/C Seater (2+2),11:10,04h 10m,15:20,3.9,INR 529,41 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),13:10,03h 30m,16:40,3.9,338,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Greenline,Volvo A/C Seater (2+2),14:00,04h 15m,18:15,3.8,INR 400,17 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Mayuri Express,A/C Seater (2+3),11:45,04h 15m,16:00,3.4,450,53 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,ADHIKARY PARIBAHAN,A/C Seater (2+3),08:30,04h 05m,12:35,4.6,229,28 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Maa Chandi Travels,A/C Seater / Sleeper (2+2),15:20,03h 50m,19:10,3.6,INR 400,17 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sandhya Travels,A/C Seater Push Back (2+3),12:50,04h 35m,17:25,3.2,INR 350,50 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Atithi),A/C Seater Push Back (2+3),12:55,03h 50m,16:45,3.4,INR 350,37 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Bengal Surface Transport,A/C Seater / Sleeper (2+2),11:40,04h 15m,15:55,3.2,INR 499,37 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Maa Chandi Travels,A/C Seater / Sleeper (2+2),13:20,03h 55m,17:15,3.1,INR 300,5 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan (Maity Motor),A/C Seater Push Back (2+3),13:45,03h 45m,17:30,3.3,INR 400,35 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Atithi),A/C Seater Push Back (2+3),14:05,03h 45m,17:50,3.5,INR 420,41 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Pariseba(Samanta),A/C Seater Push Back (2+3),15:15,04h 05m,19:20,2.6,INR 420,31 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan,AC Seater (2+3),13:00,03h 40m,16:40,3.2,INR 420,56 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),09:50,04h 25m,14:15,1.6,340,51 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Basu Travels,A/C Seater / Sleeper (2+2),11:40,04h 15m,15:55,3.0,INR 469,34 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan,A/C Seater / Sleeper (2+2),13:30,04h 05m,17:35,3.3,INR 470,51 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,Non AC Seater (2+3),12:25,03h 50m,16:15,3.8,194,12 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),13:30,03h 30m,17:00,3.5,338,54 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),18:30,05h 00m,23:30,1.4,285,31 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels(Narayan),A/C Executive (2+3),13:10,03h 50m,17:00,2.8,333,60 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),12:15,04h 45m,17:00,1.5,340,26 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Bengal Surface Transport,A/C Seater Push Back (2+3),18:05,04h 25m,22:30,3.6,INR 419,34 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba (Santosh),AC Seater (2+3),11:35,03h 55m,15:30,2.7,INR 370,35 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Samanta Travels,A/C Seater (2+3),09:40,04h 00m,13:40,2.3,INR 300,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Haimanti Bus Service,AC Seater (2+3),06:35,03h 55m,10:30,1.9,INR 290,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sneha Gold Bus Service,A/C Seater (2+3),17:10,04h 20m,21:30,3.0,INR 300,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Shinjini),AC Seater (2+3),16:00,03h 55m,19:55,2.3,INR 420,25 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express,AC Seater (2+3),12:25,04h 00m,16:25,2.9,INR 370,26 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (SONAMONI),AC Seater (2+3),06:45,04h 00m,10:45,2.4,INR 420,31 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Shinjini),AC Seater (2+3),16:40,03h 50m,20:30,2.9,INR 420,23 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan (Angel),AC Seater (2+3),14:30,04h 00m,18:30,2.1,INR 400,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Atithi),A/C Seater (2+3),11:25,04h 20m,15:45,2.1,INR 420,41 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sagufta Travels(Atithi),A/C Seater Push Back (2+3),13:05,04h 15m,17:20,2.2,394,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Bengal Surface Transport,A/C Seater Push Back (2+3),08:15,04h 09m,12:24,2.4,INR 345,36 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Maa Gauri),AC Seater (2+3),06:20,03h 50m,10:10,1.5,INR 420,15 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan(SHINJINI),A/C Seater (2+3),16:40,03h 50m,20:30,1.1,INR 420,30 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Parameswar),A/C Seater (2+3),10:10,03h 45m,13:55,1.7,INR 400,36 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Janhabi),A/C Seater Push Back (2+3),09:30,03h 55m,13:25,1.7,INR 400,31 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Angel),AC Seater (2+3),14:30,04h 00m,18:30,1.5,INR 430,31 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba,AC Seater (2+3),11:30,03h 50m,15:20,2.5,INR 420,27 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan (City Service),A/C Push Back (2+3),08:05,04h 05m,12:10,1.5,INR 370,25 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,SANTOSH BUS SERVICE,AC Seater (2+3),05:15,03h 45m,09:00,3.7,370,41 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,SANTOSH BUS SERVICE,AC Seater (2+3),05:15,04h 35m,09:50,3.7,INR 400,41 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+2),18:30,04h 30m,23:00,1.5,340,42 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Adhikary Paribahan,A/C Seater Push Back (2+3),08:25,03h 50m,12:15,3.9,INR 269,29 Seats available
